date,ticker,actual_price,fitted_price
2017-04-19,AMD,12.84,9.54701564199135
2017-04-20,AMD,13.11,9.559473838936357
2017-04-21,AMD,13.0,9.57194829296912
2017-04-24,AMD,13.13,9.60946940987616
2017-04-25,AMD,13.49,9.622009104680753
2017-04-26,AMD,13.41,9.634565162922188
2017-04-27,AMD,13.62,9.64713760595359
2017-04-28,AMD,13.3,9.659726455156067
2017-05-01,AMD,13.62,9.697591654018488
2017-05-02,AMD,10.32,9.710246342273784
2017-05-03,AMD,10.39,9.722917544024464
2017-05-04,AMD,10.1,9.735605280819465
2017-05-05,AMD,10.19,9.74830957423593
2017-05-08,AMD,10.04,9.78652201040732
2017-05-09,AMD,10.18,9.799292746644099
2017-05-10,AMD,10.79,9.812080147810823
2017-05-11,AMD,11.07,9.824884235654142
2017-05-12,AMD,11.26,9.837705031948985
2017-05-15,AMD,11.42,9.87626788971869
2017-05-16,AMD,12.75,9.889155738138102
2017-05-17,AMD,11.2,9.902060404310815
2017-05-18,AMD,11.28,9.914981910182815
2017-05-19,AMD,11.41,9.927920277728786
2017-05-22,AMD,11.04,9.9668367705872
2017-05-23,AMD,10.89,9.979842805149513
2017-05-24,AMD,10.89,9.992865811689875
2017-05-25,AMD,10.98,10.005905812355595
2017-05-26,AMD,11.0,10.018962829322765
2017-05-30,AMD,11.12,10.07136150474321
2017-05-31,AMD,11.19,10.084503936874416
2017-06-01,AMD,10.93,10.097663518973107
2017-06-02,AMD,10.9,10.110840273418805
2017-06-05,AMD,11.24,10.150473795071447
2017-06-06,AMD,12.03,10.163719463285073
2017-06-07,AMD,12.38,10.176982416182149
2017-06-08,AMD,12.9,10.19026267631796
2017-06-09,AMD,12.28,10.203560266277332
2017-06-12,AMD,12.09,10.243557241386384
2017-06-13,AMD,11.96,10.256924377077405
2017-06-14,AMD,11.77,10.270308955958521
2017-06-15,AMD,11.5,10.283711000791946
2017-06-16,AMD,11.44,10.29713053436949
2017-06-19,AMD,11.93,10.337494295932146
2017-06-20,AMD,12.64,10.350984013000392
2017-06-21,AMD,13.98,10.364491333218995
2017-06-22,AMD,14.38,10.378016279558887
2017-06-23,AMD,14.17,10.391558875020904
2017-06-26,AMD,14.08,10.432292786599033
2017-06-27,AMD,13.4,10.445906209159247
2017-06-28,AMD,13.23,10.459537396296971
2017-06-29,AMD,12.6,10.473186371193734
2017-06-30,AMD,12.48,10.48685315706137
2017-07-03,AMD,12.15,10.527960613061952
2017-07-05,AMD,13.19,10.555455065497796
2017-07-06,AMD,13.02,10.569229206337358
2017-07-07,AMD,13.36,10.583021321480643
2017-07-10,AMD,13.81,10.62450574743863
2017-07-11,AMD,13.89,10.638369994655589
2017-07-12,AMD,14.29,10.652252333758934
2017-07-13,AMD,13.53,10.66615278835735
2017-07-14,AMD,13.92,10.680071382090286
2017-07-17,AMD,13.8,10.721936234953885
2017-07-18,AMD,13.48,10.735927622237167
2017-07-19,AMD,13.55,10.749937267315854
2017-07-20,AMD,13.8,10.763965194015128
2017-07-21,AMD,13.88,10.778011426191222
2017-07-24,AMD,14.16,10.820260194610144
2017-07-25,AMD,14.11,10.834379887879308
2017-07-26,AMD,14.76,10.8485180063743
2017-07-27,AMD,14.12,10.862674574138827
2017-07-28,AMD,13.95,10.876849615247854
2017-07-31,AMD,13.61,10.91948581986402
2017-08-01,AMD,13.71,10.933734995730406
2017-08-02,AMD,13.37,10.948002765788535
2017-08-03,AMD,13.24,10.962289154302528
2017-08-04,AMD,13.12,10.976594185568166
2017-08-07,AMD,13.43,11.019621379308916
2017-08-08,AMD,13.11,11.03400122517394
2017-08-09,AMD,12.83,11.048399835745988
2017-08-10,AMD,12.12,11.062817235511782
2017-08-11,AMD,12.23,11.077253448989888
2017-08-14,AMD,12.76,11.120675217364248
2017-08-15,AMD,13.02,11.135186931518124
2017-08-16,AMD,12.63,11.149717582458104
2017-08-17,AMD,12.34,11.164267194895366
2017-08-18,AMD,12.37,11.178835793573336
2017-08-21,AMD,12.05,11.222655754970718
2017-08-22,AMD,12.17,11.237300546692467
2017-08-23,AMD,12.48,11.251964448857345
2017-08-24,AMD,12.5,11.266647486403182
2017-08-25,AMD,12.43,11.281349684300313
2017-08-28,AMD,12.23,11.325571490291967
2017-08-29,AMD,12.15,11.340350579950123
2017-08-30,AMD,12.67,11.355148955300931
2017-08-31,AMD,13.0,11.369966641510933
2017-09-01,AMD,13.19,11.384803663779428
2017-09-05,AMD,12.92,11.444345618577197
